Data,Dia da Semana,Materia,Sala,Plano de Aula
11/08/2022,Quinta,Eletronica A,L106,"Apresentação da disciplina: plano de ensino, datas das avaliações, bibliografia, metodologia. Revisão de conceitos."
12/08/2022,Sexta,Banco de Dados,V104,"Introdução à disciplina de Banco de Dados. História e evolução dos sistemas de armazenamento de dados. Contextualização da disciplina no curso de Engenharia de Computação. Atividade de leitura, pesquisa e questionário. Sistemas atuais de gerenciamento de Banco de Dados: marcas, usos, preços, hardware, etc. Definições e aspectos básicos sobre Banco de Dados."
15/08/2022,Segunda,Variaveis Complexas,M005,Introdução ao* curso.Números; Complexos. Operações; básicas.
15/08/2022,Segunda,Gestão De projeto,V106,"Apresentação do plano de aulas. Contexto da disciplina. Introdução à gestão de projetos de software (o que é projeto, importância, gestão de projeto, processos da gestão de projetos). Apresentação do PMBOK e suas áreas."
15/08/2022,Segunda,Fundamentos Da Teoria,M011,Apresentação da disciplina: motivação para o estudo de Fundamentos de Computação. Apresentação do Plano de Aulas da Disciplina.
16/08/2022,Terça,Eletronica A,I010,"Teoria de semicondutores: estrutura atômica, materiais semicondutores, junção PN. Diodo bipolar: estrutura, características e circuito equivalente."
17/08/2022,Quarta,Variaveis Complexas,M005,Divisão. Módulo. Inversa.
17/08/2022,Quarta,Fundamentos Da Teoria,M011,"Linguagens Formais: Conceitos Básicos. Caractere, alfabeto, palavra. Concatenação, concatenação sucessiva. Gramática, Gramática Irrestrita ou Gramática de Chomsky ."
17/08/2022,Quarta,Banco de Dados,V104,"Conceitos, Modelos e Projeto de Banco de dados. Sistemas gerenciadores de Banco de Dados. Organização de memória. Redundância controlada e não controlada de dados. Abordagem de modelagem. Esquemas de dados."
18/08/2022,Quinta,Eletronica A,L106,Diodo: reta de carga* Atividade prática: exercícios.
19/08/2022,Sexta,Banco de Dados,V104,Abordagem Entidade-Relacionamento. Revisão de Engenharia de Requisitos. Projeto conceitual de banco de dados. Introdução aos Diagramas Entidade-Relacionamento.
22/08/2022,Segunda,Variaveis Complexas,M005,Representação polar.
